,date,startup_name,industry_vertical,subvertical,city,investor,investment_type,amount,year,month
1899,2016-03-29,fixnix,consumer internet,grc saas platform,chennai,jay vijayan,seed,41485000.0,2016,3
1900,2016-03-30,true balance,technology,mobile balance check app,gurgaon,softbank group ventures korea,private equity,,2016,3
1901,2016-03-30,touchkin,healthcare,predictive healthcare platform,bengaluru,"alok mittal, amit gupta, anuj srivastava, himanshu aggarwal, raghunandan g, puneet agarwal",seed,33188000.0,2016,3
1902,2016-03-31,switchme,consumer internet,home loan rate comparison platform,mumbai,"mohandas pai, hiro mashita, singapore angel network, 500 startups, rajan anandan, ajay sarupria",seed,,2016,3
1903,2016-03-31,transcell,healthcare,family stem cell banking services,hyderabad,indian angel network,seed,,2016,3
1904,2016-01-02,blue tokai coffee,ecommerce,specialty coffee etailer,new delhi,snow leopard technology ventures,seed,,2016,1
1905,2016-02-02,altizone,technology,iot & m2m solutions,pune,"wipro ventures,\\xc2\\xa0 lumis partners",private equity,331880000.0,2016,2
1906,2016-02-02,oust app,consumer internet,competitive exam preparation platform,bengaluru,"t v mohandas pai,\\xc2\\xa0 aarin capital",seed,,2016,2
1907,2016-02-02,strike,consumer internet,mobile email productivity tool,bengaluru,multiple investors through ten minute million competition,seed,1866825.0,2016,2
1908,2016-02-02,maaxmarket,consumer internet,marketing automation platform,,multiple investors through ten minute million competition,seed,1866825.0,2016,2
1909,2016-02-02,gamooz,technology,augmented reality solutions,gurgaon,multiple investors through ten minute million competition,seed,1866825.0,2016,2
1910,2016-02-02,soundsurround,technology,audio technology solutions,mumbai,multiple investors through ten minute million competition,seed,1866825.0,2016,2
1911,2016-03-02,mazkara,consumer internet,beauty & wellness platform,india/dubai,dunamis ventures pte ltd.,seed,82970000.0,2016,3
1912,2016-03-02,roadgods,ecommerce,auto spare parts etailer,new delhi,green house ventures (ghv),seed,8297000.0,2016,3
1913,2016-03-02,pindropmusic,consumer internet,music discovery mobile app,noida,green house ventures (ghv),seed,8297000.0,2016,3
